,Номенклатура,КлассТовара
138,86edb95f-797d-11e1-84e2-001517c526f0,Средне продаваемый
139,e2aa06c5-9bec-11dd-9c08-00151716f9f5,Средне продаваемый
140,86edb9ab-797d-11e1-84e2-001517c526f0,Средне продаваемый
141,87262414-e7c6-11db-916b-00001a1933df,Средне продаваемый
142,2332e446-a0ac-11dc-afe6-00151716f9f5,Средне продаваемый
143,ffe0c3d5-a8fb-11e0-b8f6-00155d030b07,Средне продаваемый
144,d0786690-bba2-11da-ab47-0002b3552d75,Средне продаваемый
145,04cc7b37-8427-11db-9e4d-00173147c81e,Средне продаваемый
146,86edb97d-797d-11e1-84e2-001517c526f0,Средне продаваемый
147,72dcc8cc-bba2-11da-ab47-0002b3552d75,Средне продаваемый
148,237fbeca-4863-11df-bc79-001517c526f1,Средне продаваемый
149,5e529176-d55d-11dc-9e84-00151716f9f5,Средне продаваемый
150,6f10eb8a-abf4-11df-ae04-001517c526f0,Средне продаваемый
151,6de285e5-8335-11df-a4e0-001517c526f0,Средне продаваемый
152,c477177d-baea-11df-a86c-001517c526f0,Средне продаваемый
153,46af82a6-dc08-11df-b9e1-001517c526f0,Средне продаваемый
154,ce106c87-fe54-11de-b2fc-00151716f9f5,Средне продаваемый
155,04b9b9a3-5de6-11dd-9e2a-00151716f9f5,Средне продаваемый
156,d0730a1a-361e-11db-a1fa-0002b3552d75,Средне продаваемый
157,8e6cdef5-797d-11e1-84e2-001517c526f0,Средне продаваемый
158,19930ece-6302-11db-a5f0-00001a1933df,Средне продаваемый
159,3227679a-e83a-11dd-bca2-00151716f9f5,Средне продаваемый
160,9a59dc0f-bba2-11da-ab47-0002b3552d75,Средне продаваемый
161,12e6344e-8dfb-11de-8bef-00151716f9f5,Средне продаваемый
162,5d633604-ebbe-11df-bc9f-001517c526f0,Средне продаваемый
163,8e6cdef4-797d-11e1-84e2-001517c526f0,Средне продаваемый
164,ca9eb3d1-56b5-11dd-914b-00151716f9f5,Средне продаваемый
165,cbb01249-289e-11de-a6ae-00151716f9f5,Средне продаваемый
166,d6c41c4c-bba2-11da-ab47-0002b3552d75,Средне продаваемый
167,4b972e55-f3c1-11dc-8cdd-00151716f9f5,Средне продаваемый
168,c260c527-532c-11df-a73d-001517c526f1,Средне продаваемый
169,86edb97f-797d-11e1-84e2-001517c526f0,Средне продаваемый
170,59b0fd9b-bba3-11da-ab47-0002b3552d75,Средне продаваемый
171,38e137e1-9940-11df-8b11-001517c526f0,Средне продаваемый
172,7fb7006d-bba2-11da-ab47-0002b3552d75,Средне продаваемый
173,daef7d06-a3f2-11de-8bef-00151716f9f5,Средне продаваемый
174,c98ca7d3-9aaa-11df-abb2-001517c526f0,Средне продаваемый
175,408ae72d-9611-11df-9cdb-001517c526f0,Средне продаваемый
176,cbb01248-289e-11de-a6ae-00151716f9f5,Средне продаваемый
177,18a7cdc3-3646-11df-a9f6-001517c526f1,Средне продаваемый
178,b4df1cf8-8b07-11df-b4cc-001517c526f0,Средне продаваемый
179,d0786691-bba2-11da-ab47-0002b3552d75,Средне продаваемый
180,a8f9d954-705d-11db-9d41-00001a1933df,Средне продаваемый
181,c477177e-baea-11df-a86c-001517c526f0,Средне продаваемый
182,dc02afb9-29c1-11dc-af1c-00001a1933df,Средне продаваемый
183,44e10aa3-7003-11dd-9dbc-00151716f9f5,Средне продаваемый
184,d6c41c46-bba2-11da-ab47-0002b3552d75,Средне продаваемый
185,294e5736-37dd-11e0-878d-001517c526f0,Средне продаваемый
186,9a59dc10-bba2-11da-ab47-0002b3552d75,Средне продаваемый
187,703da7e4-6f26-11dd-8546-00151716f9f5,Средне продаваемый
188,46d03f85-bba3-11da-ab47-0002b3552d75,Средне продаваемый
189,e1ec32a3-2e3d-11de-b87b-00151716f9f5,Средне продаваемый
190,fbeb97ab-bfac-11df-bdc2-001517c526f0,Средне продаваемый
191,77d18a88-dccc-11db-9085-00001a1933df,Средне продаваемый
192,91b22a68-f058-11df-9a55-001517c526f0,Средне продаваемый
193,651f4ab7-828a-11e0-b9c6-00155d030b07,Средне продаваемый
194,752fb40f-83f3-11df-8011-001517c526f0,Средне продаваемый
195,e6a2b054-0950-11df-a185-00151716f9f5,Средне продаваемый
196,5fdf8468-7361-11df-815f-001517c526f1,Средне продаваемый
197,46af82a5-dc08-11df-b9e1-001517c526f0,Средне продаваемый
198,8e6cdf6f-797d-11e1-84e2-001517c526f0,Средне продаваемый
199,7f94e242-a5a6-11df-821c-001517c526f0,Средне продаваемый
200,86edb98a-797d-11e1-84e2-001517c526f0,Средне продаваемый
201,fbc5d171-0d4b-11db-a026-0002b3552d75,Средне продаваемый
202,8b42a674-5b50-11e0-b61b-001517c526f0,Средне продаваемый
203,149f6a69-e545-11df-9bf5-001517c526f0,Средне продаваемый
204,ca27a68e-230e-11dd-ba83-00151716f9f5,Средне продаваемый
205,d53109c5-d1c3-11e0-bc27-001517c526f0,Средне продаваемый
206,46d03f80-bba3-11da-ab47-0002b3552d75,Средне продаваемый
207,2813f9e2-92d4-11df-ac78-001517c526f0,Средне продаваемый
208,3da2c72a-d0c7-11dd-9625-00151716f9f5,Средне продаваемый
209,93ebf544-bf86-11dd-a804-00151716f9f5,Средне продаваемый
210,6c6c364d-2cd5-11e0-86c7-001517c526f0,Средне продаваемый
211,c3706728-76ff-11e0-8e92-001517c526f0,Средне продаваемый
212,0513600d-946b-11df-a4ae-001517c526f0,Средне продаваемый
213,d078664b-bba2-11da-ab47-0002b3552d75,Средне продаваемый
214,b2177dd4-eab1-11de-97f8-00151716f9f5,Средне продаваемый
215,dfcdb007-87f6-11e0-a3c6-00155d030b07,Средне продаваемый
216,4b972e56-f3c1-11dc-8cdd-00151716f9f5,Средне продаваемый
217,1e09bcee-4fa3-11e0-893f-001517c526f0,Средне продаваемый
218,dfcdb005-87f6-11e0-a3c6-00155d030b07,Средне продаваемый
219,9f05c7be-6b57-11de-af5d-00151716f9f5,Средне продаваемый
220,06f0f192-e7a3-11df-bc4a-001517c526f0,Средне продаваемый
221,dffd4f4c-f208-11da-90f0-0002b3552d75,Средне продаваемый
222,1cfc2c35-b1a7-11e0-9b8d-00155d030b07,Средне продаваемый
223,141d6217-ce09-11db-920b-001731bb01c7,Средне продаваемый
224,6f10eb89-abf4-11df-ae04-001517c526f0,Средне продаваемый
225,9a59dc05-bba2-11da-ab47-0002b3552d75,Средне продаваемый
226,01eb2ca6-a935-11e0-b8f6-00155d030b07,Средне продаваемый
227,d647ae94-4e31-11dd-a76c-00151716f9f5,Средне продаваемый
228,c477177c-baea-11df-a86c-001517c526f0,Средне продаваемый
229,9f05c7ae-6b57-11de-af5d-00151716f9f5,Средне продаваемый
230,2813f9e4-92d4-11df-ac78-001517c526f0,Средне продаваемый
231,9f605094-4057-11df-95ff-001517c526f1,Средне продаваемый
232,1967202a-8574-11df-bdbd-001517c526f0,Средне продаваемый
233,b2f27c6c-e2c0-11dd-af6f-00151716f9f5,Средне продаваемый
234,75f9c14c-0de0-11de-a75a-00151716f9f5,Средне продаваемый
